dataset,dimu_mass,n,weighted:sumw,weighted:sumw2
dy,"(102.0, 103.0]",122.0,51.83867263793945,25.66249656677246
dy,"(103.0, 104.0]",106.0,46.267982482910156,22.955930709838867
dy,"(104.0, 105.0]",74.0,34.070003509521484,17.078670501708984
dy,"(105.0, 106.0]",82.0,35.44831085205078,17.62379264831543
dy,"(106.0, 107.0]",75.0,32.33997344970703,16.029457092285156
dy,"(107.0, 108.0]",66.0,30.917776107788086,15.928008079528809
dy,"(108.0, 109.0]",58.0,24.985427856445312,12.373002052307129
dy,"(109.0, 110.0]",51.0,24.058368682861328,12.247478485107422
dy,"(110.0, 111.0]",41.0,18.48348617553711,9.279943466186523
dy,"(111.0, 112.0]",41.0,19.208332061767578,9.899840354919434
dy,"(112.0, 113.0]",34.0,15.540236473083496,7.726177215576172
dy,"(113.0, 114.0]",32.0,13.57360553741455,6.792914390563965
dy,"(114.0, 115.0]",26.0,11.57461929321289,5.750221252441406
dy,"(115.0, 116.0]",23.0,9.519292831420898,4.65897274017334
dy,"(116.0, 117.0]",28.0,13.912171363830566,7.353211402893066
dy,"(117.0, 118.0]",13.0,5.911970615386963,2.9581449031829834
dy,"(118.0, 119.0]",17.0,6.906482696533203,3.4517641067504883
dy,"(119.0, 120.0]",11.0,5.094998836517334,2.603456497192383
dy,"(120.0, inf]",577.0,242.42433166503906,119.61236572265625
qcd,"(-inf, 60.0]",0.0,0.0,0.0
qcd,"(60.0, 61.0]",0.0,0.0,0.0
qcd,"(61.0, 62.0]",0.0,0.0,0.0
qcd,"(62.0, 63.0]",0.0,0.0,0.0
qcd,"(63.0, 64.0]",0.0,0.0,0.0
qcd,"(64.0, 65.0]",0.0,0.0,0.0
qcd,"(65.0, 66.0]",0.0,0.0,0.0
qcd,"(66.0, 67.0]",0.0,0.0,0.0
qcd,"(67.0, 68.0]",0.0,0.0,0.0
qcd,"(68.0, 69.0]",0.0,0.0,0.0
qcd,"(69.0, 70.0]",0.0,0.0,0.0
qcd,"(70.0, 71.0]",0.0,0.0,0.0
qcd,"(71.0, 72.0]",0.0,0.0,0.0
qcd,"(72.0, 73.0]",0.0,0.0,0.0
qcd,"(73.0, 74.0]",0.0,0.0,0.0
qcd,"(74.0, 75.0]",0.0,0.0,0.0
qcd,"(75.0, 76.0]",0.0,0.0,0.0
qcd,"(76.0, 77.0]",0.0,0.0,0.0
qcd,"(77.0, 78.0]",0.0,0.0,0.0
qcd,"(78.0, 79.0]",0.0,0.0,0.0
qcd,"(79.0, 80.0]",0.0,0.0,0.0
qcd,"(80.0, 81.0]",0.0,0.0,0.0
qcd,"(81.0, 82.0]",0.0,0.0,0.0
qcd,"(82.0, 83.0]",0.0,0.0,0.0
qcd,"(83.0, 84.0]",0.0,0.0,0.0
qcd,"(84.0, 85.0]",0.0,0.0,0.0
qcd,"(85.0, 86.0]",0.0,0.0,0.0
qcd,"(86.0, 87.0]",0.0,0.0,0.0
qcd,"(87.0, 88.0]",0.0,0.0,0.0
qcd,"(88.0, 89.0]",0.0,0.0,0.0
qcd,"(89.0, 90.0]",0.0,0.0,0.0
qcd,"(90.0, 91.0]",0.0,0.0,0.0
qcd,"(91.0, 92.0]",0.0,0.0,0.0
qcd,"(92.0, 93.0]",0.0,0.0,0.0
qcd,"(93.0, 94.0]",0.0,0.0,0.0
qcd,"(94.0, 95.0]",0.0,0.0,0.0
qcd,"(95.0, 96.0]",0.0,0.0,0.0
qcd,"(96.0, 97.0]",0.0,0.0,0.0
qcd,"(97.0, 98.0]",0.0,0.0,0.0
qcd,"(98.0, 99.0]",0.0,0.0,0.0
qcd,"(99.0, 100.0]",0.0,0.0,0.0
qcd,"(100.0, 101.0]",0.0,0.0,0.0
qcd,"(101.0, 102.0]",0.0,0.0,0.0
qcd,"(102.0, 103.0]",0.0,0.0,0.0
qcd,"(103.0, 104.0]",0.0,0.0,0.0
qcd,"(104.0, 105.0]",0.0,0.0,0.0
qcd,"(105.0, 106.0]",0.0,0.0,0.0
qcd,"(106.0, 107.0]",0.0,0.0,0.0
qcd,"(107.0, 108.0]",0.0,0.0,0.0
qcd,"(108.0, 109.0]",0.0,0.0,0.0
qcd,"(109.0, 110.0]",0.0,0.0,0.0
qcd,"(110.0, 111.0]",0.0,0.0,0.0
qcd,"(111.0, 112.0]",0.0,0.0,0.0
qcd,"(112.0, 113.0]",0.0,0.0,0.0
qcd,"(113.0, 114.0]",0.0,0.0,0.0
qcd,"(114.0, 115.0]",0.0,0.0,0.0
qcd,"(115.0, 116.0]",0.0,0.0,0.0
qcd,"(116.0, 117.0]",0.0,0.0,0.0
qcd,"(117.0, 118.0]",0.0,0.0,0.0
qcd,"(118.0, 119.0]",0.0,0.0,0.0
qcd,"(119.0, 120.0]",0.0,0.0,0.0
qcd,"(120.0, inf]",0.0,0.0,0.0
single_top,"(-inf, 60.0]",32.0,1.7410409450531006,0.10068200528621674
single_top,"(60.0, 61.0]",1.0,0.06528829038143158,0.0042625609785318375
single_top,"(61.0, 62.0]",1.0,0.0058309175074100494,3.39996004186105e-05
single_top,"(62.0, 63.0]",0.0,0.0,0.0
single_top,"(63.0, 64.0]",0.0,0.0,0.0
single_top,"(64.0, 65.0]",0.0,0.0,0.0
single_top,"(65.0, 66.0]",2.0,0.09370043128728867,0.005054735578596592
single_top,"(66.0, 67.0]",0.0,0.0,0.0
single_top,"(67.0, 68.0]",1.0,0.000651773065328598,4.2480812112444255e-07
single_top,"(68.0, 69.0]",0.0,0.0,0.0
single_top,"(69.0, 70.0]",2.0,0.1257420778274536,0.007915318012237549
single_top,"(70.0, 71.0]",0.0,0.0,0.0
single_top,"(71.0, 72.0]",1.0,0.0180727019906044,0.0003266225685365498
single_top,"(72.0, 73.0]",0.0,0.0,0.0
single_top,"(73.0, 74.0]",0.0,0.0,0.0
single_top,"(74.0, 75.0]",1.0,0.06564342975616455,0.004309060052037239
single_top,"(75.0, 76.0]",0.0,0.0,0.0
single_top,"(76.0, 77.0]",2.0,0.1275773048400879,0.008142482489347458
single_top,"(77.0, 78.0]",1.0,0.05972770228981972,0.003567398525774479
